filepath,description
COCO_val2014_000000000873,"there are buildings lined up, and there are two chimneys."
COCO_val2014_000000000974,several people are riding on the elephant's back.
COCO_val2014_000000000985,a bus with many graphics drawn on its windows and sides.
COCO_val2014_000000000987,a pot is inside a black oven with its door open.
COCO_val2014_000000000999,a baseball player wearing an orange shirt is kneeling on the field.
COCO_val2014_000000001029,an airplane flying high in the sky on a cloudy day
COCO_val2014_000000001064,a white plate with broccoli covered in cheese and ribs.
COCO_val2014_000000001089,"a man is sitting at a table, striking a pose similar to that of president barack obama."
COCO_val2014_000000001103,the small birds are walking by the waterside.
COCO_val2014_000000001149,a group of soldiers and men in suits are observing a missile demonstration.
COCO_val2014_000000001153,a wooden bowl filled with bananas is on the counter.
COCO_val2014_000000001171,an old train with the number 71 on the front.
COCO_val2014_000000001176,the man is practicing tricks on a skateboard.
COCO_val2014_000000001180,a woman wearing a strange hat is cutting a cake.
COCO_val2014_000000001244,a man sitting on a chair under an umbrella by the harbor.
COCO_val2014_000000001268,"people sitting by the canal under the bridge, and a woman taking a photo."
COCO_val2014_000000001296,an asian girl is holding her hello kitty phone.
COCO_val2014_000000001340,it's a creative arrangement using leaves and small reeds.
COCO_val2014_000000001353,there is a group of children on the indoor train.
COCO_val2014_000000001374,a train running on the track next to the platform.
COCO_val2014_000000001393,there are a few red roses in the green vase.
COCO_val2014_000000001398,a dark-colored cat rubbing its body against someone's legs and shoes.
COCO_val2014_000000001404,a small child sitting on the sofa with two stuffed animals.
COCO_val2014_000000001425,there is a sandwich with a bite taken out of it on the plate.
COCO_val2014_000000001436,there are three laptops stacked on top of a man lying on a sofa.
COCO_val2014_000000001448,the giraffe is lowering its neck to eat grass.
COCO_val2014_000000001464,a person wearing skis is descending the mountain.
COCO_val2014_000000001490,a man wearing a wetsuit is standing on a surfboard in the water.
COCO_val2014_000000001525,an airplane parked in a hangar with a banner hanging on the building's wall.
COCO_val2014_000000001532,"the crane and truck are traveling through the underpass, following the signposts."
COCO_val2014_000000001554,a flock of sheep walking across the grassland.
COCO_val2014_000000001563,a woman standing while holding skis.
COCO_val2014_000000001577,yellow flowers in a tall glass mug-shaped vase
COCO_val2014_000000001584,a red double-decker bus in the middle of the road.
COCO_val2014_000000001590,a cow is sitting on a truck where a barrel of hay has been placed.
COCO_val2014_000000001592,a girl sitting on a porch chair in the summer.
COCO_val2014_000000001626,the two people are playing a game on the wii.
COCO_val2014_000000001647,"a depiction of rock-paper-scissors represented by scissors, a rock, and a crumpled piece of paper."
COCO_val2014_000000001655,a man taking a photo of a snowy mountain with a mobile phone.
COCO_val2014_000000001667,an infant smiling while licking frosting from a fork in front of a picnic table.
COCO_val2014_000000001668,a professional baseball player is holding a bat.
COCO_val2014_000000001675,a black and white cat relaxing inside a laptop.
COCO_val2014_000000001682,a boat in the distance on a clear lake.
COCO_val2014_000000001700,a young boy is about to slide down the slope.
COCO_val2014_000000001761,two airplanes are flying above a black bridge.
COCO_val2014_000000001818,a baby zebra drinking milk from its mother's nipple.
COCO_val2014_000000001841,a close-up of a woman wearing a hat and a tie.
COCO_val2014_000000001852,a roll of cotton and a pair of scissors
COCO_val2014_000000001869,a small baby elephant walking together with other big elephants.
COCO_val2014_000000001955,a little girl flying a pink and purple polka-dotted kite.
COCO_val2014_000000001987,a person playing frisbee is suspended in the air above the wet sand.
COCO_val2014_000000001993,"a room with purple walls, carpet, and bed cover."
COCO_val2014_000000002006,a city bus running near a crosswalk with many pedestrians.
COCO_val2014_000000002014,a boy riding a skateboard is catching himself.
COCO_val2014_000000002061,a toilet with an unusual lever and a water hose next to it.
COCO_val2014_000000002139,a bicycle parked next to the bed in the bedroom.
COCO_val2014_000000002142,a man sitting on a bench is surrounded by birds.
COCO_val2014_000000002153,there is a male tennis player at the base.
COCO_val2014_000000002164,"in the lush meadow, a flock of sheep is grazing on the grass."
COCO_val2014_000000002171,surfers and swimmers in the water.
COCO_val2014_000000002179,a skateboarder attempting to slide on a small wooden lamp.
COCO_val2014_000000002191,a person surfing near the shore in shallow waves.
COCO_val2014_000000002212,a dog curled up and resting on a green sofa.
COCO_val2014_000000002225,"a little girl enjoying sweets, waiting for a sugar rush."
COCO_val2014_000000002235,a tennis player is looking at the ball while preparing to serve.
COCO_val2014_000000002239,a little girl wearing a white shirt is playing tennis.
COCO_val2014_000000002255,"a large elephant is walking near a bare, pruned tree."
COCO_val2014_000000002261,the boy is riding a boogie board in the ocean waves.
COCO_val2014_000000002290,a boat floating in the water near the pier.
COCO_val2014_000000002295,a cat looking inside a wooden bowl is searching for food.
COCO_val2014_000000002299,some children are standing or sitting next to each other.
COCO_val2014_000000002302,"two people are riding horses, proceeding in single file along a path in a desolate desert landscape."
COCO_val2014_000000002315,an elephant is standing in or near the water source.
COCO_val2014_000000002346,"on the table, there are several vases with flowers arranged in them."
COCO_val2014_000000002388,"a bathroom with a sink, a toilet, and a door."
COCO_val2014_000000002434,two different laptops placed on the desk.
COCO_val2014_000000002453,a metal bench overlooks an area that resembles a flooded swamp.
COCO_val2014_000000002473,a skier in the snow is performing a trick in the air.
COCO_val2014_000000002477,the man is typing on the red laptop on the table.
COCO_val2014_000000002495,there is a square with two leg holes on the floor.
COCO_val2014_000000002521,a business with purple graffiti on a white brick wall.
COCO_val2014_000000002525,a woman selling decorated cupcakes.
COCO_val2014_000000002529,a clock tower standing next to a street lined with buildings.
COCO_val2014_000000002532,a person skiing on top of a snow-covered hill.
COCO_val2014_000000002562,a professional tennis player is hitting balls in front of the fans.
COCO_val2014_000000002587,there is a banana and a donut inside the plastic bag.
COCO_val2014_000000002592,a close-up of a knife and a cup placed on the surface.
COCO_val2014_000000002613,a surfer riding the waves is in the sea.
COCO_val2014_000000002640,a train is moving on the tracks on a bridge over the road.
COCO_val2014_000000002684,a herd of zebras eating grass in the savannah.
COCO_val2014_000000002690,several boats are docked in the beautiful harbor.
COCO_val2014_000000002753,a dog holding a yellow disk in its mouth
COCO_val2014_000000002759,there are two bowls of broccoli soup on the table.
COCO_val2014_000000002839,a young child with big eyes is staring at the camera.
COCO_val2014_000000002867,four skiers preparing to ski down a snowy mountain.
COCO_val2014_000000002881,two men watching a plane take off while walking their dogs.
COCO_val2014_000000002894,the sight of a train running along the tracks from behind.
COCO_val2014_000000002923,a few birds are walking through a tall grassy field near the harbor where the sailing ships are docked.
COCO_val2014_000000002972,the red train is passing by the white train.
COCO_val2014_000000002985,an elephant traveling on the road in the bed of a truck.
COCO_val2014_000000002988,a sleepy calico cat has completely taken over the soft chair.
COCO_val2014_000000003001,a table lined with various types of donuts.
COCO_val2014_000000003014,a slice has been taken from a pizza topped with cherry tomatoes.
COCO_val2014_000000003035,a plane is parked in the center of a sandy runway.
COCO_val2014_000000003067,a cat sniffing the sandwich next to the apple and the phone.
COCO_val2014_000000003093,a ripe banana is placed in a black bowl.
COCO_val2014_000000003103,a man riding a skateboard is performing a trick.
COCO_val2014_000000003109,a woman standing next to a fence holding an umbrella.
COCO_val2014_000000003125,a white van next to the sidewalk.
COCO_val2014_000000003145,you can see a long living room here with a ceiling fan.
COCO_val2014_000000003149,a tall building with a clock that has roman numerals.
COCO_val2014_000000003156,a man is wearing gloves while installing a toilet.
COCO_val2014_000000003192,a close-up of a pizza with spinach on it.
COCO_val2014_000000003255,at the foot of the snowy hill stands a group of people.
COCO_val2014_000000003326,two people are rowing a boat on the river.
COCO_val2014_000000003335,a white toilet is placed in a white bathroom area with beige walls.
COCO_val2014_000000003342,"there are red, white, and black trains inside the station."
COCO_val2014_000000003382,the crew members of the ship are communicating via radio.
COCO_val2014_000000003425,a room with various items placed on the bed and nightstand.
COCO_val2014_000000003466,a person wearing orange and blue sneakers is standing on a brick floor.
COCO_val2014_000000003690,a pizza with lots of cheese and toppings in the center.
COCO_val2014_000000003693,a young man looking down at his feet with four beautiful women in the background.
COCO_val2014_000000003694,a person skateboarding on the edge.
COCO_val2014_000000003711,a black cat sitting on the hood of an old car.
COCO_val2014_000000003716,a woman lying on the sofa looking at her laptop
COCO_val2014_000000003742,a vase with flowers and apples on the table.
COCO_val2014_000000003771,a white and brown cow sitting in a meadow where flowers are in full bloom.
COCO_val2014_000000003793,a bus passing by the stone building with the brown roof.
COCO_val2014_000000003794,two small sandwiches placed next to the salad.
COCO_val2014_000000003832,a very large yacht is moored next to several sailboats.
COCO_val2014_000000003837,a surfer is practicing along the coast of the beach.
COCO_val2014_000000003845,plates of food and drinks on the table.
COCO_val2014_000000003849,a car is driving on the road beneath the sign.
COCO_val2014_000000003867,two zebras are eating grass.
COCO_val2014_000000003926,"two fluffy sheep are standing in the snow, and one of the sheep has its nose to the ground."
COCO_val2014_000000003934,a blurry photograph of a girl focusing next to the people who came to the party.
COCO_val2014_000000003938,an asian woman trying to learn about electronic devices.
COCO_val2014_000000003947,a white sheep is grazing in a green field.
COCO_val2014_000000003964,a woman wearing a hat is holding a tennis racket.
COCO_val2014_000000003983,ski equipment is set up on the slope.
COCO_val2014_000000004011,a woman standing next to a dog-shaped cake.
COCO_val2014_000000004066,"two people are standing in the waves, and one of them is holding a board."
COCO_val2014_000000004079,"a silver vase is placed on the wooden surface, containing a small branch with silver-colored leaves, and next to it, there is a leafy green plant."
COCO_val2014_000000004092,a person is standing while holding a video game controller.
COCO_val2014_000000004108,a table with a variety of foods and a cake.
COCO_val2014_000000004134,two men shaking hands after a dinner speech.
COCO_val2014_000000004157,the clock has two decorative balls hanging from it.
COCO_val2014_000000004211,a woman wearing a long and flowing green dress is walking beside the jousting tournament.
COCO_val2014_000000004246,two boys are standing on the city street next to the curb.
COCO_val2014_000000004256,"a table set with dishes and a bowl containing dishes, broccoli, and cauliflower."
COCO_val2014_000000004266,people skiing down a mountain made of artificial snow.
COCO_val2014_000000004283,two birds standing on a rock in the water.
COCO_val2014_000000004296,it seems like this kitchen is under repair or construction.
COCO_val2014_000000004338,you can see a bear in the grassy area in front of the trees.
COCO_val2014_000000004359,a woman standing on a platform with a commuter train in the background.
COCO_val2014_000000004375,several people are skiing in the snow outside the lodge.
COCO_val2014_000000004386,a man eating a sandwich while leaning against a building.
COCO_val2014_000000004392,the dog is taking a nap on a very warm blanket.
COCO_val2014_000000004395,a man dressed in a suit and tie is raising his hand.
COCO_val2014_000000004438,a man in a suit and tie is jumping in the air.
COCO_val2014_000000004497,a nobel prize truck is driving on the highway.
COCO_val2014_000000004498,a boy skateboarding on a suburban street.
COCO_val2014_000000004509,"a woman is bound with a rope, barely covered."
COCO_val2014_000000004551,a statue of a dinosaur and many flying kites.
COCO_val2014_000000004554,a group of snowboarders in the snow
COCO_val2014_000000004678,a very large castle in the background behind the trees.
COCO_val2014_000000004688,there is a man flying a kite outside.
COCO_val2014_000000004742,a man surfing with a blue surfboard during low tide.
COCO_val2014_000000004749,two fully ripe bananas with spots are placed in a green bowl on a gray counter.
COCO_val2014_000000004764,a motorcycle parked inside the building
COCO_val2014_000000004765,a man surfing on a big wave in the ocean.
COCO_val2014_000000004772,the boy is looking at the water outside the window.
COCO_val2014_000000004795,a gray cat is looking at an electronic monitor next to the phone.
COCO_val2014_000000004916,"in the black and white photograph, two children are holding hands."
COCO_val2014_000000004936,a bowl containing vegetables.
COCO_val2014_000000004979,"on the large wooden chair, there is a small wooden horse."
COCO_val2014_000000004988,a red and blue passenger bus is parked at the bus stop.
COCO_val2014_000000005001,a group of people holding large scissors towards a ribbon.
COCO_val2014_000000005032,a woman wearing a gray jacket is standing while skiing next to a child dressed in a blue snowsuit.
COCO_val2014_000000005033,a tall brick tower stands next to the forest.
COCO_val2014_000000005037,the bus stops to pick up passengers.
COCO_val2014_000000005038,a woman is sitting on the edge of a white bed.
COCO_val2014_000000005060,a man sitting on the floor taking a picture of himself in the mirror.
COCO_val2014_000000005076,a picnic table is placed in the grassy area under the tree.
COCO_val2014_000000005107,people are boarding the bus in the shopping area.
COCO_val2014_000000005193,a group of people posing for a photograph.
COCO_val2014_000000005205,a man and a child are riding a kawasaki motorcycle near an open garage door.
COCO_val2014_000000005213,there is a motorcycle parked near the grass and next to the forest sign.
COCO_val2014_000000005247,two people wearing skis are traveling through the forest.
COCO_val2014_000000005278,a blue and yellow train is running on the track.
COCO_val2014_000000005325,she is holding an umbrella over a woman in a wheelchair.
COCO_val2014_000000005328,"it is a bathroom with a toilet, sink, and shower."
COCO_val2014_000000005352,a close-up of a slice of pizza and a glass.
COCO_val2014_000000005356,a man is looking out the window at the airport.
COCO_val2014_000000005394,a car that has been modified into a boat floating on the water.
COCO_val2014_000000005412,"a modern bathroom has a toilet, bidet, and sink."
COCO_val2014_000000005443,a girl wearing skis is in the snowy landscape.
COCO_val2014_000000005476,two groups of surfers are walking side by side on their way to the sea.
COCO_val2014_000000005477,a large golden airplane is on the runway.
COCO_val2014_000000005486,the dining room of someone's house is beautifully decorated.
COCO_val2014_000000005502,many kites are being flown in the wide field.
COCO_val2014_000000005503,a person using the toilet is standing on top of the toilet seat.
COCO_val2014_000000005513,a small girl standing in the grassy area of the beach.
COCO_val2014_000000005529,a person wearing skis is sliding down a snow-covered hill.
COCO_val2014_000000005577,a cat is sleeping in a pile of clothes.
COCO_val2014_000000005586,"a man playing tennis, hitting the ball to the other side of the court."
COCO_val2014_000000005595,a field guide to the birds of australia
COCO_val2014_000000005599,several people are flying kites while others are watching them.
COCO_val2014_000000005601,"in an area with a large population and many rocky cliffs, adults are riding a long boat."
COCO_val2014_000000005617,two cats are lying on separate pillows on the bed.
COCO_val2014_000000005652,a smiling baby is holding a cellphone to their ear.
COCO_val2014_000000005670,a young man is striking a pose while getting his hair cut.
COCO_val2014_000000005673,a man wearing a hat and glasses is taking a selfie in front of the store window.
COCO_val2014_000000005690,the passenger train is on the railway.
COCO_val2014_000000005694,a pure white parrot with red eyes and a black beak.
COCO_val2014_000000005706,a bird flying over the sea in front of the waves.
COCO_val2014_000000005723,five wild horses are grazing in an open field.
COCO_val2014_000000005754,a box filled with a variety of flavors of donuts.
COCO_val2014_000000005758,"a large, magnificent clock tower towering against the blue sky points to 5:50."
COCO_val2014_000000005802,two men in white shirts are in a large stainless steel kitchen.
COCO_val2014_000000005804,the chair on the floor is placed next to two cats and a laptop.
COCO_val2014_000000005816,a bedroom with lamps on both sides of the bed.
COCO_val2014_000000005820,there is a wooden bench placed in front of the river.
COCO_val2014_000000005965,a large teddy bear sitting on a parked motorcycle.
COCO_val2014_000000005992,a flock of sheep with fluffy wool standing next to the building.
COCO_val2014_000000006012,six bananas and a red fruit combine with a blue background to create an artistic scene.
COCO_val2014_000000006028,a group of surfers is waiting for waves.
COCO_val2014_000000006033,a young man standing in front of the bus is petting a calf.
COCO_val2014_000000006040,a large white and blue train is on the railway tracks.
COCO_val2014_000000006074,a pickup truck with a christmas wreath attached to the grille.
COCO_val2014_000000006153,a brown and yellow train is running on the tracks.
COCO_val2014_000000006177,a pair of scissors with black handles is left open.
COCO_val2014_000000006180,there is a small train on the track next to the tree.
COCO_val2014_000000006189,a man in red clothes is cutting a pizza.
COCO_val2014_000000006211,a close-up of a clock pointing to the time between 11:20 and 11:23.
COCO_val2014_000000006213,the bathroom had two sinks and a bathtub with separate showers.
COCO_val2014_000000006220,there are many dishes lined up on a very large dining table.
COCO_val2014_000000006226,a yellow and white train running along the tracks
COCO_val2014_000000006266,there is a small hole on the side of the large white cow.
COCO_val2014_000000006306,a boat docked at the waterside dock.
COCO_val2014_000000006347,a brown horse is resting its head on the fence.
COCO_val2014_000000006393,a person wearing a necklace with a scissor charm.
COCO_val2014_000000006417,a person riding a surfboard catches a wave.
COCO_val2014_000000006437,a close-up of a polar bear drinking water.
COCO_val2014_000000006460,a man riding a surfboard with a safety rope falls over.
COCO_val2014_000000006473,a birthday cake decorated with a surfing theme.
COCO_val2014_000000006527,the antique clock has black roman numerals written on it.
COCO_val2014_000000006589,a cat wearing a necktie is sitting on the sofa.
COCO_val2014_000000006593,two people are watching another person play tennis.
COCO_val2014_000000006662,"a woman, who is half-dressed and wearing black pantyhose, is lying on a bed."
COCO_val2014_000000006672,"the kitchen door, which serves as the entrance and exit to the house."
COCO_val2014_000000006712,a man kneeling in the grass is throwing a ball to a small child who is swinging a bat.
COCO_val2014_000000006719,a man sitting on a surfboard in the middle of the sandy beach.
COCO_val2014_000000006720,"there is a table, a chest of drawers, and a microwave in the room."
COCO_val2014_000000006723,a path for bicycles and pedestrians running parallel to the street.
COCO_val2014_000000006771,a woman in a costume is using a mobile phone among other people.
COCO_val2014_000000006783,a man is windsurfing on the water.
COCO_val2014_000000006789,a white car is driving down the street.
COCO_val2014_000000006810,the clock hanging outside in front of the property.
COCO_val2014_000000006818,this photo looks like a janitor's closet with a bucket placed on the floor.
COCO_val2014_000000006845,two cows are walking through a waterlogged meadow.
COCO_val2014_000000006847,close-up of a bearded man wearing a black tie.
COCO_val2014_000000006854,the poster uses a sandwich as an example.
COCO_val2014_000000006861,the view of the drainage pump placed next to the toilet.
COCO_val2014_000000006864,a group of people walking through the airport.
COCO_val2014_000000006871,a polar bear swimming in the water.
COCO_val2014_000000006874,a few giraffes are standing in the field.
COCO_val2014_000000006896,there are several giraffes near where the man is.
COCO_val2014_000000006906,two men are trying to shake hands under a canopy.
COCO_val2014_000000006921,it's time to shut down and go to sleep.
COCO_val2014_000000006949,fresh salad with dressing and serving tongs.
COCO_val2014_000000007023,people are playing a tennis match on an outdoor court.
COCO_val2014_000000007072,a person trying to catch a frisbee on the beach.
COCO_val2014_000000007096,the yellow and gray train cars are connected with heavy metal.
COCO_val2014_000000007107,people are tempted by the donuts on the plate.
COCO_val2014_000000007108,a few elephants are walking in a line near the waterside.
COCO_val2014_000000007115,black and white umbrellas are being held by the seated people.
COCO_val2014_000000007149,a woman is spraying water on a lamb with a hose.
COCO_val2014_000000007178,a cloud of dust is rising behind the car driving through the desert.
COCO_val2014_000000007202,"a silver oven, a silver sink, and a black stove."
COCO_val2014_000000007207,a man pointing at another man who has a carrot in his mouth.
COCO_val2014_000000007211,a train adorned with colorful and intricate artwork.
COCO_val2014_000000007241,a doughnut is placed next to the coffee cup.
COCO_val2014_000000007267,a bird is perched on the edge of the stone.
COCO_val2014_000000007274,a man and a woman with a sleeping baby.
COCO_val2014_000000007288,a public toilet with a lid that has a button.
COCO_val2014_000000007325,they are taking a photo in front of the old bus.
COCO_val2014_000000007333,a boy wearing a black shirt and yellow pants is riding a skateboard.
COCO_val2014_000000007355,a white tour bus on the street in the middle of the city.
COCO_val2014_000000007386,a motorcycle frame modified into a tricycle.
COCO_val2014_000000007394,an image of a man holding an umbrella.
COCO_val2014_000000007414,a car is driving on a road behind many sheep.
COCO_val2014_000000007511,people are flying kites on the beach near the lake or the sea.
COCO_val2014_000000007519,a man inside a diner holding two baskets with sandwiches in them.
COCO_val2014_000000007522,a child giraffe standing next to a grown giraffe.
COCO_val2014_000000007556,a parasail is gliding over the blue waters of the lake.
COCO_val2014_000000007559,a toothbrush wrapped in plastic is stuffed into a white cup.
COCO_val2014_000000007574,"a kitchen with two sinks, a counter, detergent, a stove, and a refrigerator."
COCO_val2014_000000007593,a male skateboarder wearing a black shirt is performing a trick.
COCO_val2014_000000007673,a surfer standing on a board in the river.
COCO_val2014_000000007690,a three-colored duffel bag with a travel tag.
COCO_val2014_000000007722,a cat curled up in a small sink.
COCO_val2014_000000007730,a cat is poking its head out of the blue suitcase.
COCO_val2014_000000007784,a red and white parachute is floating in the sky.
COCO_val2014_000000007789,a young woman lying on the bed in her room with her legs raised in the air.
COCO_val2014_000000007795,"in a place that looks like a hotel room, there are two beds."
COCO_val2014_000000007816,a few people are watching a man riding a motorcycle.
COCO_val2014_000000007867,some kind of pizza on top of bread.
COCO_val2014_000000007873,a woman holding a cellphone to her ear in a crowd.
COCO_val2014_000000007888,four clocks are mounted on a black pillar.
COCO_val2014_000000007899,the child is sitting while watching the kite fly away.
COCO_val2014_000000007913,a lot of fruits with price tags are placed on the table.
COCO_val2014_000000007938,there is a person talking on a mobile phone on the street.
COCO_val2014_000000007977,a boy is showing off tricks on a skateboard.
COCO_val2014_000000007989,a person wearing a snowboard and riding a lift.
COCO_val2014_000000008005,"while a light blue airplane is parked on the tarmac, a truck is waiting nearby."
COCO_val2014_000000008010,two people walking in the water carrying surfboards.
COCO_val2014_000000008016,a small yellow airplane is flying in the sky.
COCO_val2014_000000008021,the audience is watching the image of a man projected on the wall.
COCO_val2014_000000008042,children playing video games in the living room.
COCO_val2014_000000008080,two buses parked side by side on the road.
COCO_val2014_000000008128,a statue of a blue and white giraffe.
COCO_val2014_000000008131,a dog watching another dog playing on the beach.
COCO_val2014_000000008180,a jet airliner waiting in line on the runway.
COCO_val2014_000000008181,a motorcycle is parked in a gravel parking lot.
COCO_val2014_000000008188, a lawn chair and an umbrella on a beach.
COCO_val2014_000000008190,a young person surfing on the water outside.
COCO_val2014_000000008191,a group of people playing in the water.
COCO_val2014_000000008204,a cityscape with close-up shots of a van and a truck.
COCO_val2014_000000008218,the castle displays the time on a clock tower.
COCO_val2014_000000008267,"the seat of the european-style toilet is up, and there is a cleaning brush on the floor."
COCO_val2014_000000008292,"a narrow kitchen where you can see a refrigerator, a microwave, and a sink."
COCO_val2014_000000008333,a red and white train is running through the town on an elevated track.
COCO_val2014_000000008418,"various items include mouthwash, toothpaste, and toothbrushes."
COCO_val2014_000000008443,a baseball player is holding a bat.
COCO_val2014_000000008483,a man and a woman standing in front of a microphone.
COCO_val2014_000000008493,a surfer riding the crest of a wave.
COCO_val2014_000000008495,a man is lifting skis and poles.
COCO_val2014_000000008498,the clock tower located in the center of the area enclosed by a small gate.
COCO_val2014_000000008548,a large propeller plane flying in the sky
COCO_val2014_000000008594,an old man is reading a book in the room.
COCO_val2014_000000008599,a man wearing a backpack is helping another man push a cart.
COCO_val2014_000000008603,an adult and a child giraffe are standing while gazing at the grassland.
COCO_val2014_000000008646,several cars are parked on the road.
COCO_val2014_000000008665,a woodpecker sitting on the table.
COCO_val2014_000000008676,a bedroom with a neatly made bed and a large transparent door.
COCO_val2014_000000008721,a workstation with a computer monitor and a laptop.
COCO_val2014_000000008749,"the pizza placed on the table, and the glasses next to it."
COCO_val2014_000000008775,"there are a few posters decorating the bedroom, along with a blue and white bed and some pillows."
COCO_val2014_000000008787,a man is holding a puppy and a camera.
COCO_val2014_000000008803,a man wearing a costume is talking on a mobile phone.
COCO_val2014_000000008844,a middle-aged black woman is standing behind a table full of bananas.
COCO_val2014_000000008853,a skier is jumping while sliding down the slope.
COCO_val2014_000000008876,all the pellegrino bottles are lined up in a row.
COCO_val2014_000000008888, an airport with jets parked on the runway.
COCO_val2014_000000008923,a red-haired boy is riding a skateboard.
COCO_val2014_000000008934,a minimal amount of light illuminates the wooden surface scattered with a laptop and peripherals.
COCO_val2014_000000009007,a man takes a photo while holding a wine glass.
COCO_val2014_000000009105,a man wearing a dark suit and a pink tie is standing.
COCO_val2014_000000009145,two ducklings lying together on the grass.
COCO_val2014_000000009156,the lunch includes a large subway sandwich packed with various ingredients.
COCO_val2014_000000009170,the pet is drinking water from the toilet bowl.
COCO_val2014_000000009186,a group of white vases placed behind the glass window.
COCO_val2014_000000009214,a zebra trying to pick up a stick from the ground.
COCO_val2014_000000009217,there is a clock at the top of this tower.
COCO_val2014_000000009236,"a kitchen with a dishwasher, a double-door pantry, and a back door."
COCO_val2014_000000009270,a toddler eating cake at an outdoor table.
COCO_val2014_000000009274,the clock hanging on the pole next to the street.
COCO_val2014_000000009288,a special toilet equipped with an electronic seat and a lid.
COCO_val2014_000000009378,"amidst the watchful eyes of the audience, a man is spinning a frisbee."
COCO_val2014_000000009400,"while using computers, several people are sitting next to each other."
COCO_val2014_000000009420,"in this black-and-white photograph, there are many young men as well as older men."
COCO_val2014_000000009426,"a small, lightweight airplane is flying in the sky."
COCO_val2014_000000009466,"a cat is lying near the door of the house, along with a pile of shoes."
COCO_val2014_000000009478,"a giraffe is in the middle of the lawn, with trees in the background."
COCO_val2014_000000009483,a man in a suit is standing near a desk with computer equipment on it.
COCO_val2014_000000009520,"a black and brown horse, a cart, and a building"
COCO_val2014_000000009548,two zebras grazing in a brown grassland.
COCO_val2014_000000009553,a small bird is standing on a branch.
COCO_val2014_000000009590,"there is a group of men at a table, talking while sipping their drinks."
COCO_val2014_000000009603,a herd of cows standing in the grassland.
COCO_val2014_000000009668,there is a modern kitchen with an almost empty wooden cabinet.
COCO_val2014_000000009699,several airplanes parked on the runway.
COCO_val2014_000000009727,a person wearing a red hat is standing on a snowy hill.
COCO_val2014_000000009791,a small golden clock on the mantelpiece of the fireplace.
COCO_val2014_000000009800,people are watching a man play a video game.
COCO_val2014_000000009830,a cat is lying on top of the laptop.
COCO_val2014_000000009891,two men are handling luggage in the parking lot.
COCO_val2014_000000009941,a man riding a skateboard while pushing a baby stroller.
COCO_val2014_000000010008,"the room is very dark, and there are many pillows on the floor."
COCO_val2014_000000010012,a man wearing a baseball uniform is standing in the outfield.
COCO_val2014_000000010039,an old clock tower stands tall against the cloudy sky.
COCO_val2014_000000010040,a group of soldiers visits a monument.
COCO_val2014_000000010077,a zebra is standing next to a mound of dirt.
COCO_val2014_000000010107,a dog sitting in the sunlight is yawning.
